YEA	MON	DAY	PRO	NUM	COU	H	MN	SEC	TZ	LAT	LON	COD	CITY		

1917	1	7	C	1794	F	6	0	0	0	43N18	0W22	64	ESPELETTE
1917	1	13	C	1709	F	2	0	0	0	48N27	1E30	28	CHATEAUDUN
1917	2	10	C	1160	B	22	0	0	0	51N 5	3E45	OVL	ST-LIEVENS HOUT
1917	2	13	C	1847	F	1	0	0	0	43N18	0W22	64	BENEJACQ
1917	2	21	C	47	F	15	0	0	0	43N18	0W22	64	ALDUDES
1917	3	6	C	1549	I	14	0	0	-1	43N42	11E 0	LU	LUCCA
1917	4	11	C	59	F	13	20	0	0	48N50	2E11	92	LEVALLOIS-PERRET
1917	4	20	C	1519	I	4	0	0	-1	45N30	9E15	MI	TURBIGO
1917	4	27	C	38	F	14	30	0	0	46N35	0E20	86	CHATTELLERAULT
1917	5	20	C	1811	F	6	30	0	0	48N50	2E11	92	VILLE D'AVRAY
1917	5	29	C	1141	B	8	0	0	0	51N14	4E30	ANT	WOMMELGEM
1917	7	10	C	2069	F	19	0	0	0	43N18	0W22	64	LOURDES
1917	9	23	C	1509	I	7	0	0	-1	45N 0	8E 0	TO	TORINO
1917	10	17	C	1191	N	20	10	28	0	51N42	5E19	NB	OSS
1917	10	30	C	97	F	8	0	0	0	43N57	4E50	84	STECECK VIG
1917	11	5	C	129	F	20	0	0	0	46N40	1W25	85	CHALLANS
1917	11	17	C	743	B	5	0	0	0	50N39	5E30	LIE	LIEGE
1917	11	17	C	1589	I	17	0	0	-1	45N24	11E 0	VR	VERONA
1918	1	25	C	967	I	3	0	0	-1	45N12	11E 0	CR	CASTELVERDE
1918	1	26	C	1137	B	20	0	0	0	51N14	4E30	ANT	BORNEM
1918	2	18	C	846	F	4	0	0	0	47N40	2W44	56	INGUINEL
1918	3	22	C	783	F	17	0	0	0	47N24	0E42	37	PAULMY
1918	4	23	C	1086	B	13	30	0	0	51N13	3E15	WVL	TORHOUT
1918	4	29	C	1849	F	21	0	0	0	43N18	0W22	64	BAYONNE
1918	6	1	C	1259	F	2	0	0	0	48N47	2E29	94	ARCUEIL
1918	6	10	C	1575	I	3	0	0	-1	45N24	11E 0	VR	VERONA
1918	6	10	C	1598	I	19	10	0	-1	44N48	10E45	PR	BORGO VAL DI TA
1918	6	15	C	1738	F	4	0	0	0	50N18	2E46	62	BOULOGNE-S/MER
1918	6	23	C	586	F	11	0	0	0	46N35	0E20	86	BUXEROLLES
1918	6	24	C	651	F	3	0	0	0	46N59	3E 9	58	ST-PARIZET-LE-C
1918	6	28	C	1288	F	1	0	0	0	43N18	5E22	13	MARSEILLE
1918	6	30	C	21	F	19	0	0	0	44N56	2E26	15	PAULHAC
1918	7	13	C	98	I	13	0	0	-1	45N30	9E15	MI	MILANO
1918	7	29	C	19	F	0	0	0	0	44N12	0E38	47	AGEN
1918	8	2	C	1695	F	4	0	0	0	45N11	0E44	24	TRELISSAC
1918	8	29	C	1692	F	19	0	0	0	44N50	0W34	33	BORDEAUX
1918	9	29	C	1391	F	21	0	0	0	48N50	2E11	92	ASNIERES
1918	9	30	C	1363	F	22	30	0	0	49N 7	1W 5	50	LE TEILLEUL
1918	10	3	C	1638	B	15	0	0	0	51N14	4E30	ANT	MALINES
1918	10	8	C	1636	B	8	0	0	0	51N 5	3E45	OVL	GAND
1918	10	14	C	1166	B	2	0	0	0	51N 5	3E45	OVL	ST-NIKLAAS/WAAS
1918	10	19	C	1207	N	2	40	28	0	52N22	4E38	NH	DEN HELDER
1918	10	22	C	906	I	1	0	0	-1	45N30	12E30	VE	SANTA MARIA DI
1918	10	27	C	1788	F	15	0	0	0	43N18	0W22	64	NAY
1918	11	24	C	1016	B	23	0	0	0	51N 5	3E45	OVL	ZOMERGEM
1918	12	1	C	826	F	19	30	0	0	47N13	1W35	44	PIRIAC-S/MER
1918	12	20	C	1007	B	17	0	0	0	51N 5	3E45	OVL	LOCHRISTI
1918	12	30	C	1337	F	14	0	0	0	50N18	2E46	62	LE PORTEL
1919	1	23	C	1195	N	1	40	28	0	51N42	5E19	NB	GEERTRUIDENBERG
1919	1	26	C	1543	I	23	0	0	-1	45N30	9E15	MI	CASSANO D'ADDA
1919	2	19	C	1641	B	15	0	0	0	51N14	4E30	ANT	ZWIJNDRECHT
1919	3	10	C	1055	B	6	0	0	0	51N 5	3E45	OVL	SINT-MAARTENS-L
1919	4	7	C	1462	I	14	0	0	-1	45N30	9E15	MI	MILANO
1919	5	19	C	1729	F	4	30	0	0	47N40	2W44	56	BELLE -ISLE
1919	6	1	C	118	I	10	0	0	-1	45N30	11E 0	BS	BRESCIA
1919	6	4	C	801	F	10	0	0	0	48N 0	4W 6	29	CHATEAULIN
1919	7	2	C	1254	F	22	0	0	0	48N57	4E22	51	REIMS
1919	8	2	C	75	F	12	0	0	0	46N12	5E13	01	OYONNAX
1919	8	18	C	1730	F	5	0	0	0	48N 5	7E21	68	FERRETTE
1919	9	5	C	1546	I	14	0	0	-1	45N30	12E 0	VI	VICENZA
1919	9	7	C	1130	B	4	0	0	0	51N13	3E15	WVL	KANEGEM
1919	9	12	C	1364	F	15	0	0	0	47N40	2W44	56	LE PEILLAC
1919	9	15	C	924	I	20	30	0	-1	45N 0	9E 0	AL	CASTELLANIA
1919	9	17	C	1744	F	21	0	0	0	48N50	2E11	92	NEUILLY-S-SEINE
1919	9	19	C	726	I	6	0	0	-1	45N36	12E45	TV	SUSEGANA
1919	10	25	C	871	F	19	0	0	0	43N18	5E22	13	MARSEILLE
1919	10	25	C	1116	B	4	0	0	0	51N 5	3E45	OVL	DIKKELVENNE
1919	10	30	C	1533	I	4	0	0	-1	45N24	8E30	VC	VERCELLI
1919	11	2	C	1287	F	3	0	0	0	43N37	3E53	34	SETE
1919	12	1	C	657	F	10	0	0	0	43N37	1E26	31	TOULOUSE
1919	12	11	C	886	F	16	0	0	0	43N42	7E16	06	ST-LAURENT-DU-V
1919	11	12	C	1876	F	4	0	0	0	43N18	0W22	64	CAMBO
1920	1	1	C	1387	F	8	0	0	0	50N39	3E 5	59	LHOMME
1920	1	3	C	202	F	17	30	0	0	48N47	2E29	94	ST-MAURICE
1920	1	7	C	1013	B	2	0	0	0	50N51	4E15	BRA	BOUTERSEM
1920	1	11	C	606	F	1	0	0	0	50N39	3E 5	59	MAUBEUGE
1920	1	14	C	1688	N	2	10	28	0	52N 5	4E28	ZH	DEN HAAG
1920	2	1	C	2033	F	15	0	0	0	42N42	2E55	66	CORNEILLA-D-V
1920	2	3	C	1106	B	5	0	0	0	51N14	4E30	ANT	BORGERHOUT
1920	2	7	C	925	I	20	0	0	-1	38N 0	15E30	ME	MESSINA
1920	2	10	C	1358	F	21	40	0	0	47N54	1E54	45	ORLEANS
1920	2	18	C	52	F	9	0	0	0	50N39	3E 5	59	THUMERIES
1920	2	22	C	525	F	10	30	0	0	48N50	2E11	92	LEVALLOIS-PERRET
1920	2	29	C	1866	F	15	0	0	0	43N37	1E26	31	TOULOUSE
1920	3	1	C	550	F	20	0	0	0	43N45	7E25	MON	MONACO
1920	3	10	C	1749	F	19	0	0	0	48N10	6E28	88	ELOYES
1920	3	12	C	907	I	21	0	0	-1	44N 0	11E15	PT	PISTOIA
1920	3	21	C	2068	F	0	30	0	0	43N18	0W22	64	PAU
1920	3	31	C	57	F	1	0	0	0	43N42	7E16	06	LABRIGUE
1920	4	15	C	879	F	13	0	0	0	48N57	4E22	51	MAREUIL-LE-PORT
1920	4	28	C	1047	B	0	0	0	0	51N13	3E15	WVL	LEDEGEM
1920	5	4	C	2014	F	4	0	0	0	45N54	6E 7	74	CHAMONIX
1920	5	22	C	1535	I	13	0	0	-1	43N42	10E30	PI	PISA
1920	5	28	C	27	F	21	0	0	0	43N42	7E16	06	CANNES
1920	6	2	C	1463	I	0	0	0	-1	45N24	12E15	PD	PADOVA
1920	6	13	C	1077	B	8	0	0	0	50N51	4E15	BRA	ANDERLECHT
1920	6	18	C	172	F	14	0	0	0	47N54	1E54	45	ORLEANS
1920	6	18	C	539	F	3	0	0	0	43N37	3E53	34	MONTPELLIER
1920	6	23	C	1949	F	4	0	0	0	43N18	0W22	64	GELES
1920	7	1	C	1602	I	22	0	0	-1	44N36	11E15	MO	BOMPORTO
1920	7	19	C	832	F	1	0	0	0	49N34	3E37	02	NOUVION-LE-COMT
1920	7	21	C	1578	I	2	0	0	-1	43N36	9E30	LI	PIOMBINO
1920	7	31	C	1205	N	9	40	28	0	52N22	4E38	NH	HAARLEM
1920	8	2	C	12	F	5	0	0	0	46N19	0W27	79	COURLAY
1920	8	6	C	85	B	2	0	0	0	51N13	3E15	WVL	BRUGES
1920	8	7	C	1997	F	4	0	0	0	43N18	0W22	64	BIZANOS
1920	8	7	C	2022	F	9	0	0	0	43N42	7E16	06	GUILLAUMES
1920	8	8	C	786	F	15	45	0	0	47N37	6E 9	70	ARC-LES-GRAY
1920	8	27	C	1657	B	10	30	0	0	50N51	4E15	BRA	SCHAARBEEK
1920	9	7	C	776	F	19	15	0	0	45N46	4E50	69	ST-ETIENNE-LA-V
1920	9	10	C	837	F	22	0	0	0	47N37	6E 9	70	HERICOURT
1920	9	11	C	1921	F	3	0	0	0	43N54	0W30	40	ST-VINCENT-DE-T
1920	9	22	C	1608	I	1	15	0	-1	45N30	9E15	MI	MILANO
1920	9	28	C	1946	F	12	30	0	0	43N18	0W22	64	PAU
1920	10	17	C	1372	F	1	0	0	0	35N20	0W45	ALG	SIDI-BEL-ABBES
1920	10	23	C	763	N	21	40	28	0	52N 5	4E28	ZH	ROTTERDAM
1920	10	27	C	1107	B	18	0	0	0	50N51	4E15	BRA	KORBEEK LOO
1920	11	8	C	1610	I	1	0	0	-1	46N 0	13E30	UD	SEQUALS
1920	11	16	C	138	F	12	30	0	0	48N36	2E20	91	BRUNEY
1920	11	24	C	196	F	10	30	0	0	49N26	1E 5	76	LE HAVRE
1920	11	26	C	1244	F	2	0	0	0	35N50	0W 0	ALG	MOSTAGANEM
1920	11	28	C	532	F	8	0	0	0	47N 5	2E23	18	SANTRANGES
1920	12	3	C	1246	F	10	0	0	0	47N37	6E 9	70	BONNEVILLE
1920	12	7	C	948	I	1	0	0	-1	43N42	11E30	FI	VAIANO
1920	12	24	C	76	F	13	0	0	0	43N14	0E 5	65	TARBES
1920	12	25	C	1585	I	19	30	0	-1	43N42	10E30	PI	BIENTINA
1921	1	6	C	805	F	23	0	0	0	50N18	2E46	62	LILLIERS
1921	1	14	C	1275	F	18	30	0	0	50N39	3E 5	59	ROUBAIX
1921	1	22	C	1338	F	15	30	0	0	50N39	3E 5	59	ROUBAIX
1921	1	23	C	790	F	22	0	0	0	48N47	2E29	94	SAINT-MAUR
1921	1	28	C	718	I	17	30	0	-1	45N36	12E45	TV	ODERZO
1921	2	1	C	1362	F	12	0	0	0	50N39	3E 5	59	TOURCOING
1921	2	3	C	636	F	7	0	0	0	49N34	3E37	02	LAON
1921	2	8	C	971	I	6	0	0	-1	44N24	12E15	RA	RUSSI
1921	2	8	C	1511	I	20	0	0	-1	45N30	11E 0	BS	BRESCIA
1921	2	9	C	1469	I	10	0	0	-1	45N24	8E30	VC	VERCELLI
1921	2	16	C	87	F	1	0	0	0	43N42	7E16	06	NICE
1921	2	18	C	951	I	15	0	0	-1	43N42	11E30	FI	SESTO FIORENTIN
1921	2	20	C	668	F	12	0	0	0	43N18	5E22	13	MARSEILLE
1921	2	24	C	83	B	1	0	0	0	50N51	4E15	BRA	BRAINELALLE
1921	3	3	C	1607	I	8	0	0	-1	45N30	12E 0	VI	SCHIO
1921	3	19	C	1264	F	3	0	0	0	48N50	2E11	92	BOULOGNE-BILLANC
1921	3	26	C	1271	F	7	0	0	0	49N 7	6E11	57	MONTIGNY-LES-ME
1921	4	5	C	1360	F	4	0	0	0	43N18	5E22	13	MARSEILLE
1921	4	11	C	752	B	1	0	0	0	50N39	5E30	LIE	LIEGE
1921	4	15	C	210	F	22	15	0	0	43N42	7E16	06	CAPDAIL
1921	5	2	C	2056	F	17	30	0	0	45N46	4E50	69	STE-FOY
1921	6	10	C	877	F	1	0	0	0	49N46	4E44	08	CONDE-S/VOUZIER
1921	6	14	C	1605	I	13	30	0	-1	45N30	12E30	VE	FOSSALTA DI PIA
1921	6	28	C	866	F	9	0	0	0	48N50	2E20	75	PARIS 20E
1921	6	29	C	1286	F	15	0	0	0	48N33	2E40	77	PROVINS
1921	7	6	C	2015	F	22	30	0	0	45N54	6E 7	74	CHAMONIX
1921	7	7	C	1951	F	6	15	0	0	46N12	5E13	01	MONTLUEL
1921	7	11	C	917	I	2	0	0	-1	45N48	9E 0	VA	BUSTO ARSIZIO
1921	7	13	C	1815	F	20	30	0	0	44N12	0E38	47	LAYRAC
1921	7	25	C	1371	F	1	0	0	0	43N18	5E22	13	MARSEILLE
1921	7	26	C	1409	I	22	0	0	-1	41N54	12E30	RM	FRASCATI
1921	7	28	C	940	I	15	0	0	-1	45N48	9E 0	VA	VERGIATE
1921	8	3	C	937	I	10	15	0	-1	43N42	10E30	PI	CASTELFRANCO DI
1921	8	23	C	1567	I	0	25	0	-1	45N48	9E 0	VA	VARESE
1921	8	28	C	1844	F	6	0	0	0	42N42	2E55	66	BAGES
1921	9	4	C	537	F	1	0	0	0	45N11	5E43	38	GRENOBLE
1921	9	7	C	44	F	0	0	0	0	45N16	1E46	19	ST-EMILION
1921	9	20	C	1570	I	15	45	0	-1	45N 0	8E 0	TO	TORINO
1921	10	3	C	1550	I	3	0	0	-1	45N48	9E 0	VA	CARONNO VARESIN
1921	10	6	C	804	F	9	15	0	0	49N11	0W22	14	POLIGNY
1921	10	22	C	1061	B	2	0	0	0	50N47	5E30	LIM	WYCKNAEL
1921	10	27	C	1486	I	11	0	0	-1	40N30	17E30	TA	TARANTO
1921	11	7	C	1503	I	11	45	0	-1	45N30	9E15	MI	MILANO
1921	11	10	C	1736	F	4	30	0	0	48N50	2E 8	78	ORGEVAL
1921	11	16	C	1494	I	12	0	0	-1	44N24	12E15	RA	CASTELBOLOGNESE
1921	11	18	C	1642	B	7	30	0	0	51N14	4E30	ANT	BERCHEM
1921	11	20	C	2002	F	6	0	0	0	42N42	2E55	66	ARGELES
1921	11	26	C	1014	B	18	0	0	0	50N20	4E30	NAM	MOIGNELEE
1921	12	3	C	1381	F	14	0	0	0	41N55	8E45	20	MONTEMAGGIORE
1921	12	7	C	828	F	2	30	0	0	49N34	3E37	02	LAON
1921	12	22	C	551	F	7	0	0	0	48N50	2E11	92	BOIS-COLOMBES
1922	1	4	C	1383	F	0	45	0	0	50N39	3E 5	59	LILLE
1922	1	10	C	1423	I	7	0	0	-1	45N30	12E30	VE	CHIOGGIA
1922	2	2	C	1710	F	3	30	0	0	47N38	6E52	90	BELFORT
1922	2	16	C	1659	B	16	0	0	0	51N14	4E30	ANT	MERKSEM
1922	2	24	C	605	F	2	0	0	0	50N39	3E 5	59	MAUBEUGE
1922	2	24	C	1502	I	15	0	0	-1	45N24	12E15	PD	PADOVA
1922	2	27	C	706	I	7	0	0	-1	45N 0	12E15	RO	ROVIGO
1922	2	28	C	1467	I	13	30	0	-1	45N48	9E 0	VA	JERAGO
1922	3	3	C	1097	B	13	0	0	0	51N14	4E30	ANT	ARENDONCK
1922	3	11	C	1420	I	13	0	0	-1	44N24	12E15	RA	RUSSI
1922	3	17	C	1785	F	1	0	0	0	43N18	0W22	64	ST-ETIENNE-DE-B
1922	3	31	C	825	F	5	0	0	0	48N50	2E11	92	CLAMART
1922	4	3	C	814	F	0	0	0	0	48N55	2E30	93	ST-OUEN
1922	4	10	C	1466	I	20	0	0	-1	45N36	9E45	BG	MARTINENGO
1922	4	13	C	2074	F	5	0	0	0	43N42	7E16	06	ANTIBES
1922	4	23	C	1248	F	9	0	0	0	44N50	0W34	33	BORDEAUX
1922	5	3	C	1410	I	7	0	0	-1	42N24	12E 0	VT	CAPRANICA
1922	5	11	C	1837	F	17	0	0	0	43N14	0E 5	65	ODOS
1922	6	7	C	1238	F	10	0	0	0	43N51	4E21	30	LA GRAND' COMBE
1922	6	10	C	1177	B	5	0	0	0	51N14	4E30	ANT	DEURNE-ANVERS
1922	7	1	C	1104	B	17	0	0	0	51N13	3E15	WVL	MOORSELE
1922	7	1	C	1464	I	15	10	0	-1	41N36	15E30	FG	CERIGNOLA
1922	7	3	C	1895	F	22	0	0	0	43N37	1E26	31	TOULOUSE
1922	7	12	C	768	G	7	0	0	-1	51N30	7E30	NORD	ESSEN
1922	7	20	C	1316	F	15	30	0	0	44N56	4E54	26	VALENCE
1922	7	22	C	517	F	21	45	0	0	48N50	2E11	92	NEUILLY S-SEINE
1922	8	19	C	1624	B	19	30	0	0	50N39	5E30	LIE	ST-NICOLAS
1922	9	11	C	1109	B	4	30	0	0	51N13	3E15	WVL	INGELMUNSTER
1922	9	14	C	1780	F	21	30	0	0	48N18	4E 5	10	TROYES
1922	9	27	C	1786	F	13	0	0	0	43N18	0W22	64	GUETHARY
1922	10	5	C	698	I	18	0	0	-1	41N12	17E 0	BA	BARI
1922	10	7	C	1528	I	6	0	0	-1	43N42	10E30	PI	PISA
1922	10	9	C	1595	I	3	0	0	-1	45N30	9E 0	NO	BIANDRATE
1922	10	16	C	1507	I	14	0	0	-1	43N 0	13E 0	PG	TODI
1922	11	11	C	1824	F	5	0	0	0	43N18	0W22	64	BIDART
1922	11	12	C	529	F	21	0	0	0	44N44	4E36	07	VION
1922	11	28	C	1995	F	16	0	0	0	43N14	0E 5	65	ODOS
1922	12	1	C	1144	B	22	0	0	0	51N14	4E30	ANT	WESTERLO
1922	12	4	C	528	F	12	30	0	0	48N 0	4W 6	29	BREST
1922	12	5	C	721	I	18	0	0	-1	44N12	12E30	FO	FORLI
1922	12	6	C	1674	B	1	0	0	0	51N14	4E30	ANT	ANVERS
1922	12	19	C	881	F	22	30	0	0	48N50	2E11	92	CLAMART
1922	12	23	C	1845	F	8	30	0	0	45N34	5E55	73	AIX-LES-BAINS
1922	12	24	C	765	N	7	40	28	0	52N 5	4E28	ZH	ROTTERDAM
1923	1	1	C	762	B	3	0	0	0	51N13	3E15	WVL	BRUGES
1923	1	3	C	1999	F	2	0	0	0	46N12	5E13	01	BOURG-EN-BRESSE
1923	1	7	C	1547	I	1	45	0	-1	45N12	11E 0	MN	MANTONA
1923	1	10	C	1966	F	16	0	0	0	42N42	2E55	66	ARGELES
1923	1	18	C	1219	N	22	55	28	0	52N22	4E38	NH	VELSEN
1923	1	19	C	1505	I	22	30	0	-1	44N 0	13E 0	PS	PESARO
1923	1	25	C	1579	I	4	0	0	-1	41N54	12E30	RM	ROMA
1923	1	30	C	135	F	21	30	0	0	50N18	2E46	62	BOULOGNE-S/MER
1923	2	12	C	682	F	11	0	0	0	47N48	3E35	89	ST-MARTIN-DU-TE
1923	2	14	C	1446	I	20	0	0	-1	45N30	9E15	MI	CASSANO D'ADDA
1923	2	16	C	978	I	11	0	0	-1	44N18	8E45	SV	STELLA
1923	2	27	C	1471	I	13	15	0	-1	45N24	11E 0	VR	VERONA
1923	3	9	C	1529	I	15	30	0	-1	44N30	11E 0	BO	MOLINELLA
1923	3	13	C	1306	F	21	0	0	0	49N46	4E44	08	MOHON
1923	3	16	C	1920	F	5	0	0	0	43N18	0W22	64	BIARRITZ
1923	3	25	C	1214	N	15	10	28	0	51N42	5E19	NB	FIJNAART
1923	4	17	C	6	F	1	0	0	0	45N46	4E50	69	VENNISSIEUX
1923	4	21	C	697	I	16	0	0	-1	44N 0	13E 0	PS	ORCIANO DE PEZA
1923	4	27	C	1395	F	8	25	0	0	48N47	2E29	94	CHOISY-LE-ROI
1923	5	1	C	1957	F	9	30	0	0	44N50	0W34	33	BORDEAUX
1923	5	26	C	1806	F	6	0	0	0	43N18	0W22	64	BAYONNE
1923	5	27	C	55	F	15	30	0	0	49N26	1E 5	76	PIERRECOURT
1923	5	27	C	1539	I	11	20	0	-1	45N12	11E 0	MN	CASTELLUCCHIO
1923	6	1	C	1318	F	17	30	0	0	48N 7	1W40	35	ST-SERVAN-S/MER
1923	6	4	C	1722	F	5	0	0	0	43N37	3E53	34	SETE
1923	6	7	C	1251	F	22	0	0	0	50N39	3E 5	59	LAMBERSART
1923	6	7	C	1850	F	20	0	0	0	43N37	3E53	34	NISSAN-LES-ENSE
1923	6	29	C	691	F	1	0	0	0	50N39	3E 5	59	ROSENDAEL
1923	7	5	C	1613	I	15	0	0	-1	45N48	9E 0	VA	SOLBIATE OLONA
1923	7	8	C	1916	F	6	0	0	0	43N18	0W22	64	ASCAIN
1923	7	21	C	78	F	6	30	0	0	47N15	6E 2	25	GRANDCHAMONT
1923	7	21	C	79	F	6	0	0	0	47N15	6E 2	25	GRANDCHAMONT
1923	8	1	C	1971	F	8	0	0	0	43N14	0E 5	65	LOURDES
1923	8	3	C	1325	F	5	0	0	0	46N34	3E20	03	GANNAT
1923	8	5	C	621	F	7	0	0	0	50N39	3E 5	59	FRESNES-S/ESCAU
1923	8	8	C	1026	B	19	0	0	0	51N 5	3E45	OVL	WAARSCHOOT
1923	10	5	C	26	F	8	0	0	0	43N37	3E53	34	AIGUESVIVES
1923	12	8	C	596	F	5	0	0	0	41N55	8E45	20	VISCOVATO
1923	12	22	C	1520	I	13	0	0	-1	45N36	12E45	TV	RONCADE
1924	1	9	C	1326	F	9	15	0	0	47N15	6E 2	25	SOCHAUX
1924	1	9	C	1678	B	23	0	0	0	51N14	4E30	ANT	MECHELEN
1924	1	14	C	1435	I	14	0	0	-1	43N42	11E 0	LU	VIAREGGIO
1924	1	15	C	1298	F	16	0	0	0	43N18	5E22	13	ARLES
1924	1	29	C	754	B	15	0	0	0	50N39	5E30	LIE	LIEGE
1924	2	8	C	800	F	5	0	0	0	43N32	6E28	83	OLLIOULES
1924	2	15	C	1827	F	4	0	0	0	43N55	2E 8	81	GRAULHET
1924	2	15	C	1931	F	5	0	0	0	43N37	1E26	31	RIEUMES
1924	2	17	C	635	F	5	0	0	0	46N34	3E20	03	MONTLUCON
1924	2	17	C	982	I	17	30	0	-1	45N30	9E15	MI	SESTO S. GIOVAN
1924	2	20	C	597	F	12	0	0	0	49N34	3E37	02	CHAUNY
1924	2	29	C	1382	F	22	0	0	0	41N55	8E45	20	MONTEMAGGIORE
1924	3	3	C	1609	I	15	0	0	-1	45N24	12E15	PD	PADOVA
1924	3	5	C	1347	F	13	0	0	0	49N46	4E44	08	VILLERS-SEMEUSE
1924	3	11	C	1935	F	2	0	0	0	44N12	0E38	47	AGEN
1924	3	12	C	1419	I	2	0	0	-1	44N18	8E45	SV	VADO LIGURE
1924	3	15	C	1716	F	10	0	0	0	43N37	3E53	34	MONTPELLIER
1924	3	18	C	1970	F	11	30	0	0	46N12	5E13	01	BOURG-EN-BRESSE
1924	3	24	C	1976	G	1	30	0	0	50N26	7E24	GERM	ANDERNACH
1924	4	1	C	936	I	8	0	0	-1	45N 0	9E 0	AL	OVADA
1924	4	9	C	1093	B	2	0	0	0	51N 5	3E45	OVL	ZEEVERGEM-BIJ-G
1924	5	1	C	1886	F	11	0	0	0	43N37	1E26	31	TOULOUSE
1924	5	6	C	1412	I	23	0	0	-1	41N54	12E30	RM	MORLUPO
1924	5	8	C	1826	F	12	0	0	0	43N37	1E26	31	TOULOUSE
1924	5	10	C	1740	F	19	0	0	0	50N39	3E 5	59	LILLE
1924	5	18	C	1655	B	1	0	0	0	51N14	4E30	ANT	MALINES
1924	5	20	C	28	F	5	0	0	0	43N37	1E26	31	TOULOUSE
1924	5	24	C	1422	I	7	45	0	-1	44N30	11E 0	BO	BOLOGNA
1924	5	31	C	1714	F	17	0	0	0	50N39	3E 5	59	BOUSBECQUE
1924	6	3	C	1302	F	12	25	0	0	50N39	3E 5	59	LILLE
1924	6	3	C	1542	I	1	0	0	-1	45N12	11E 0	CR	CREMA
1924	6	7	C	184	F	0	0	0	0	44N50	0W34	33	BORDEAUX
1924	6	20	C	660	F	15	0	0	0	49N34	3E37	02	DURY
1924	6	22	C	1011	B	18	30	0	0	51N13	3E15	WVL	WAKKEN
1924	6	30	C	1561	I	17	0	0	-1	44N36	11E15	MO	CARPI
1924	7	7	C	701	I	11	20	0	-1	41N36	15E30	FG	DELICETO
1924	7	8	C	833	F	8	45	0	0	48N50	2E11	92	RUEIL
1924	7	8	C	1380	F	2	0	0	0	48N42	6E12	54	VILLERUPT
1924	7	19	C	1284	F	3	0	0	0	45N 3	3E53	43	SAINT-ETIENNE
1924	7	20	C	1125	B	3	0	0	0	51N 5	3E45	OVL	ADEGEM-KRUISPUI
1924	7	22	C	1349	F	10	0	0	0	48N50	2E11	92	GENNEVILLIERS
1924	7	23	C	2023	F	20	30	0	0	45N54	6E 7	74	GAILLARD
1924	8	27	C	1889	F	0	0	0	0	43N54	0W30	40	DAX
1924	9	5	C	1721	F	1	0	0	0	48N55	2E30	93	ROMAINVILLE
1924	9	9	C	1169	B	5	0	0	0	51N14	4E30	ANT	ARENDONCK
1924	9	10	C	678	F	19	0	0	0	43N42	7E16	06	NICE
1924	9	22	C	819	F	17	0	0	0	44N56	4E54	26	BEAUMONT-MONTEU
1924	9	22	C	1015	B	21	0	0	0	51N13	3E15	WVL	ST-ANDRE-BRUGES
1924	9	28	C	1476	I	7	0	0	-1	45N30	9E15	MI	SAN DONATO MILA
1924	9	29	C	988	I	20	30	0	-1	45N24	12E15	PD	AGNA
1924	10	4	C	1158	B	15	0	0	0	50N47	5E30	LIM	MONTENAKEN
1924	10	12	C	549	F	7	0	0	0	48N55	2E30	93	BAGNOLET
1924	10	14	C	780	F	13	0	0	0	44N50	0W34	33	MERIGNAC
1924	10	17	C	1536	I	15	0	0	-1	45N12	11E 0	CR	VESCOVATO
1924	10	20	C	874	F	8	30	0	0	48N47	2E29	94	VITRY-S-SEINE
1924	10	21	C	692	F	15	0	0	0	50N18	2E46	62	NOEUX-LES-MINES
1924	11	8	C	607	F	18	30	0	0	50N39	3E 5	59	MAUBEUGE
1924	11	22	C	733	I	23	10	0	-1	45N48	8E 0	AO	VALTOURNANCHE
1924	11	23	C	1121	B	15	0	0	0	51N13	3E15	WVL	LAUWE
1924	11	24	C	1802	F	2	0	0	0	43N18	0W22	64	VILLEFRANQUE
1924	11	25	C	1708	F	10	45	0	0	48N55	2E30	93	BONDY
1924	11	27	C	1793	F	7	0	0	0	43N18	0W22	64	ST-JEAN-DE-LUZ
1924	11	28	C	1424	I	15	0	0	-1	45N30	12E 0	VI	LONIGO
1924	12	10	C	1534	I	6	30	0	-1	46N 0	13E30	UD	UDINE
1924	12	29	C	742	B	21	0	0	0	50N23	4E30	HAI	QUAREGNON
1925	1	1	C	1873	F	7	0	0	0	42N42	2E55	66	ELNE
1925	1	6	C	966	I	1	10	0	-1	45N12	9E 0	PV	BASTIDA PANCARA
1925	1	7	C	1634	B	15	15	0	0	50N39	5E30	LIE	LIEGE
1925	1	11	C	791	F	2	0	0	0	49N 0	2E 0	95	ARGENTEUIL
1925	1	15	C	960	I	17	0	0	-1	44N24	9E 0	GE	BARGAGLI
1925	2	5	C	1017	B	19	30	0	0	51N 5	3E45	OVL	ST-NIKLASS/WAAS
1925	2	9	C	714	I	22	0	0	-1	45N24	12E15	PD	PADOVA
1925	2	12	C	1342	F	9	0	0	0	47N15	6E 2	25	ETERNON
1925	2	13	C	1361	F	12	0	0	0	48N42	6E12	54	JOUDREVILLE
1925	2	17	C	1984	F	2	0	0	0	44N 1	1E20	82	CAZES-MOND
1925	2	22	C	583	F	20	0	0	0	44N33	6E 0	05	GAP
1925	3	12	C	785	F	23	0	0	0	48N 7	1W40	35	ST-MEEN-LE-GRAN
1925	3	13	C	923	I	8	10	0	-1	45N 0	8E 0	TO	TORINO
1925	3	14	C	554	F	4	0	0	0	47N24	0E42	37	ST-PIERRE-DES-C
